outcome,model,condition,primary_OR,primary_ci,primary_p,primary_holm,lenient_OR,lenient_ci,lenient_p,lenient_holm,distinct_OR,distinct_ci,distinct_p,distinct_holm,literal_OR,literal_ci,literal_p,literal_holm,mismatch_not_found_OR,mismatch_not_found_ci,mismatch_not_found_p,mismatch_not_found_holm,template_B_OR,template_B_ci,template_B_p,template_B_holm,templates_pooled_OR,templates_pooled_ci,templates_pooled_p,templates_pooled_holm,generations_pooled_OR,generations_pooled_ci,generations_pooled_p,generations_pooled_holm,tasks_pooled_OR,tasks_pooled_ci,tasks_pooled_p,tasks_pooled_holm,appellate_OR,appellate_ci,appellate_p,appellate_holm,grounded_OR,grounded_ci,grounded_p,grounded_holm
citation,llama4mav,stakes,1.303,0.417-4.072,0.64884,1.0,1.303,0.417-4.072,0.64884,1.0,1.313,0.416-4.144,0.64246,1.0,1.303,0.417-4.072,0.64884,1.0,1.311,0.424-4.048,0.6381,1.0,0.7,0.31-1.58,0.39058,1.0,0.964,0.438-2.125,0.92799,0.928,,,,,0.909,0.462-1.789,0.78291,0.7829,0.754,0.319-1.78,0.51879,1.0,,,,
citation,llama4mav,combo,0.64,0.276-1.481,0.29677,1.0,0.64,0.276-1.481,0.29677,1.0,0.62,0.265-1.449,0.26959,1.0,0.64,0.276-1.481,0.29677,1.0,0.451,0.203-0.999,0.04962,0.1985,0.255,0.088-0.743,0.01222,0.0978,0.407,0.187-0.887,0.02368,0.1421,0.481,0.266-0.87,0.01557,0.0934,0.439,0.247-0.782,0.0052,0.026,0.361,0.168-0.775,0.00899,0.0629,31.283,4.872-200.892,0.00028,0.006
quote,qwen30b,quota,1.071,0.671-1.709,0.77388,1.0,1.103,0.755-1.611,0.61159,1.0,1.071,0.671-1.709,0.77388,1.0,1.012,0.636-1.609,0.96135,0.9614,1.071,0.671-1.709,0.77388,1.0,0.82,0.55-1.222,0.32894,0.6579,0.942,0.687-1.292,0.70988,1.0,,,,,1.135,0.738-1.745,0.56353,1.0,1.341,0.459-3.922,0.59165,0.5917,,,,
quote,qwen30b,temporal,0.495,0.295-0.829,0.00757,0.0303,0.354,0.238-0.525,0.0,0.0,0.495,0.295-0.829,0.00757,0.0303,0.515,0.312-0.851,0.00952,0.0381,0.495,0.295-0.829,0.00757,0.0303,0.111,0.037-0.327,7e-05,0.0004,0.273,0.16-0.466,0.0,0.0,,,,,0.531,0.335-0.842,0.00715,0.0358,0.777,0.364-1.659,0.51466,1.0,,,,
quote,qwen30b,stakes,1.034,0.663-1.612,0.88353,0.8835,1.012,0.702-1.457,0.9503,0.9503,1.034,0.663-1.612,0.88353,0.8835,1.036,0.673-1.593,0.8727,1.0,1.034,0.663-1.612,0.88353,0.8835,1.079,0.755-1.541,0.67632,0.6763,1.051,0.777-1.42,0.74787,0.7479,,,,,1.157,0.77-1.738,0.48203,1.0,1.775,0.643-4.904,0.26821,1.0,,,,
quote,qwen30b,combo,0.292,0.161-0.527,5e-05,0.0003,0.291,0.198-0.429,0.0,0.0,0.292,0.161-0.527,5e-05,0.0003,0.302,0.169-0.54,5e-05,0.0003,0.292,0.161-0.527,5e-05,0.0003,0.226,0.109-0.472,7e-05,0.0003,0.261,0.156-0.436,0.0,0.0,0.241,0.163-0.356,0.0,0.0,0.29,0.163-0.517,3e-05,0.0002,0.311,0.062-1.565,0.15635,0.9381,11.292,5.394-23.638,0.0,0.0
quote,mistralsmall,quota,1.308,0.814-2.102,0.26674,0.5335,1.099,0.644-1.875,0.72909,0.7291,1.308,0.814-2.102,0.26674,0.5335,1.187,0.745-1.891,0.47046,0.4705,1.308,0.814-2.102,0.26674,0.8002,0.736,0.505-1.074,0.1123,0.5615,0.959,0.73-1.261,0.76458,0.7646,,,,,1.158,0.779-1.722,0.46764,1.0,0.918,0.451-1.867,0.81229,1.0,,,,
quote,mistralsmall,temporal,0.484,0.28-0.837,0.0094,0.0752,0.672,0.407-1.111,0.12139,0.6069,0.484,0.28-0.837,0.0094,0.0752,0.468,0.267-0.82,0.00794,0.0635,0.484,0.28-0.837,0.0094,0.0658,0.463,0.275-0.78,0.00379,0.0227,0.462,0.306-0.699,0.00025,0.0015,,,,,0.453,0.275-0.746,0.00186,0.013,0.394,0.129-1.2,0.10127,0.7089,,,,
quote,mistralsmall,stakes,0.757,0.476-1.202,0.23758,0.7127,1.137,0.745-1.735,0.55186,1.0,0.757,0.476-1.202,0.23758,0.7127,0.672,0.412-1.096,0.11085,0.4434,0.757,0.476-1.202,0.23758,0.9503,0.438,0.263-0.73,0.00153,0.0107,0.572,0.439-0.745,3e-05,0.0002,,,,,0.836,0.546-1.278,0.40763,1.0,1.062,0.487-2.316,0.87999,1.0,,,,
quote,mistralsmall,combo,0.597,0.36-0.992,0.04642,0.2785,0.546,0.328-0.909,0.01986,0.139,0.597,0.36-0.992,0.04642,0.2785,0.591,0.356-0.98,0.04148,0.2489,0.597,0.36-0.992,0.04642,0.2785,0.347,0.207-0.582,6e-05,0.0005,0.437,0.303-0.631,1e-05,0.0001,0.52,0.378-0.717,6e-05,0.0005,0.479,0.304-0.753,0.00144,0.0115,0.256,0.09-0.729,0.01065,0.0852,1.57,0.82-3.006,0.17391,1.0
